PostalCode,City,State
1291,OSLO,OSL
1294,OSLO,OSL
1295,OSLO,OSL
1300,SANDVIKA,AK
1301,SANDVIKA,AK
1302,SANDVIKA,AK
1303,SANDVIKA,AK
1304,SANDVIKA,AK
1305,HASLUM,AK
1306,SANDVIKA,AK
1307,FORNEBU,AK
1308,JAR,AK
1309,RUD,AK
1311,HØVIKODDEN,AK
1312,SLEPENDEN,AK
1313,VØYENENGA,AK
1314,VØYENENGA,AK
1316,EIKSMARKA,AK
1317,BÆRUMS VERK,AK
1318,BEKKESTUA,AK
1319,BEKKESTUA,AK
1321,STABEKK,AK
1322,HØVIK,AK
1323,HØVIK,AK
1324,LYSAKER,AK
1325,LYSAKER,AK
1326,LYSAKER,AK
1327,LYSAKER,AK
1328,HØVIK,AK
1329,LOMMEDALEN,AK
1330,FORNEBU,AK
1331,FORNEBU,AK
1332,ØSTERÅS,AK
1333,KOLSÅS,AK
1334,RYKKINN,AK
1335,SNARØYA,AK
1336,SANDVIKA,AK
1337,SANDVIKA,AK
1338,SANDVIKA,AK
1339,VØYENENGA,AK
1340,SKUI,AK
1341,SLEPENDEN,AK
1342,GJETTUM,AK
1344,HASLUM,AK
1346,GJETTUM,AK
1348,RYKKINN,AK
1349,RYKKINN,AK
1350,LOMMEDALEN,AK
1351,RUD,AK
1352,KOLSÅS,AK
1353,BÆRUMS VERK,AK
1354,BÆRUMS VERK,AK
1356,BEKKESTUA,AK
1357,BEKKESTUA,AK
1358,JAR,AK
1359,EIKSMARKA,AK
1360,FORNEBU,AK
1361,ØSTERÅS,AK
1362,HOSLE,AK
1363,HØVIK,AK
1364,FORNEBU,AK
1365,BLOMMENHOLM,AK
1366,LYSAKER,AK
1367,SNARØYA,AK
1368,STABEKK,AK
1369,STABEKK,AK
1371,ASKER,AK
1372,ASKER,AK
1373,ASKER,AK
1375,BILLINGSTAD,AK
1376,BILLINGSTAD,AK
1377,BILLINGSTAD,AK
1378,NESBRU,AK
1379,NESBRU,AK
1380,HEGGEDAL,AK
1381,VETTRE,AK
1383,ASKER,AK
1384,ASKER,AK
1385,ASKER,AK
1386,ASKER,AK
1387,ASKER,AK
1388,BORGEN,AK
1389,HEGGEDAL,AK
1390,VOLLEN,AK
1391,VOLLEN,AK
1392,VETTRE,AK
1393,VOLLEN,AK
1394,NESBRU,AK
1395,HVALSTAD,AK
1396,BILLINGSTAD,AK
1397,NESØYA,AK
1399,ASKER,AK
1400,SKI,AK
1401,SKI,AK
1402,SKI,AK
1403,LANGHUS,AK
1404,SIGGERUD,AK
1405,LANGHUS,AK
1406,SKI,AK
1407,VINTERBRO,AK
1408,KRÅKSTAD,AK
1409,SKOTBU,AK
1410,KOLBOTN,AK
1411,KOLBOTN,AK
1412,SOFIEMYR,AK
1413,TÅRNÅSEN,AK
1414,TROLLÅSEN,AK
1415,OPPEGÅRD,AK
1416,OPPEGÅRD,AK
1417,SOFIEMYR,AK
1418,KOLBOTN,AK
1419,OPPEGÅRD,AK
1420,SVARTSKOG,AK
1421,TROLLÅSEN,AK
1422,SIGGERUD,AK
1423,SKI,AK
1424,SKI,AK
1425,SKI,AK
1429,VINTERBRO,AK
1430,ÅS,AK
1431,ÅS,AK
1432,ÅS,AK
1433,ÅS,AK
1434,ÅS,AK
1435,ÅS,AK
1440,DRØBAK,AK
1441,DRØBAK,AK
1442,DRØBAK,AK
1443,DRØBAK,AK
1444,DRØBAK,AK
1445,DRØBAK,AK
1446,DRØBAK,AK
1447,DRØBAK,AK
1448,DRØBAK,AK
1449,DRØBAK,AK
1450,NESODDTANGEN,AK
1451,NESODDTANGEN,AK
1452,NESODDTANGEN,AK
1453,BJØRNEMYR,AK
1454,FAGERSTRAND,AK
1455,NORDRE FROGN,AK
1456,NESODDTANGEN,AK
1457,FAGERSTRAND,AK
1458,FJELLSTRAND,AK
1459,NESODDEN,AK
1461,LØRENSKOG,AK
1462,FJELLHAMAR,AK
1463,FJELLHAMAR,AK
1464,FJELLHAMAR,AK
1465,STRØMMEN,AK
1466,STRØMMEN,AK
1467,STRØMMEN,AK
1468,FINSTADJORDET,AK
1469,RASTA,AK
1470,LØRENSKOG,AK
1471,LØRENSKOG,AK
1472,FJELLHAMAR,AK
1473,LØRENSKOG,AK
1474,LØRENSKOG,AK
1475,FINSTADJORDET,AK
1476,RASTA,AK
1477,FJELLHAMAR,AK
1478,LØRENSKOG,AK
1479,KURLAND,AK
1480,SLATTUM,AK
1481,HAGAN,AK
1482,NITTEDAL,AK
1483,HAGAN,AK
1484,HAKADAL,AK
1485,HAKADAL,AK
1486,NITTEDAL,AK
1487,HAKADAL,AK
1488,HAKADAL,AK
1501,MOSS,OF
1502,MOSS,OF
1503,MOSS,OF
1504,MOSS,OF
1506,MOSS,OF
1508,MOSS,OF
1509,MOSS,OF
1510,MOSS,OF
1511,MOSS,OF
1512,MOSS,OF
1513,MOSS,OF
1514,MOSS,OF
1515,MOSS,OF
1516,MOSS,OF
1517,MOSS,OF
1518,MOSS,OF
1519,MOSS,OF
1520,MOSS,OF
1521,MOSS,OF
1522,MOSS,OF
1523,MOSS,OF
1524,MOSS,OF
1525,MOSS,OF
1526,MOSS,OF
1528,MOSS,OF
1529,MOSS,OF
1530,MOSS,OF
1531,MOSS,OF
1532,MOSS,OF
1533,MOSS,OF
1534,MOSS,OF
1535,MOSS,OF
1536,MOSS,OF
1537,MOSS,OF
1538,MOSS,OF
1539,MOSS,OF
1540,VESTBY,AK
1541,VESTBY,AK
1542,VESTBY,AK
1543,VESTBY,AK
1544,VESTBY,AK
1545,HVITSTEN,AK
1550,HØLEN,AK
1553,SON,AK
1554,SON,AK
1555,SON,AK
1556,SON,AK
1560,LARKOLLEN,OF
1561,LARKOLLEN,OF
1570,DILLING,OF
1580,RYGGE,OF
1581,RYGGE,OF
1590,RYGGE,OF
1591,SPERREBOTN,OF
1592,VÅLER I ØSTFOLD,OF
1593,SVINNDAL,OF
1594,VÅLER I ØSTFOLD,OF
1596,MOSS,OF
1597,MOSS,OF
1598,MOSS,OF
1599,MOSS,OF
1601,FREDRIKSTAD,OF
1602,FREDRIKSTAD,OF
1604,FREDRIKSTAD,OF
1605,FREDRIKSTAD,OF
1606,FREDRIKSTAD,OF
1607,FREDRIKSTAD,OF
1608,FREDRIKSTAD,OF
1609,FREDRIKSTAD,OF
1610,FREDRIKSTAD,OF
1612,FREDRIKSTAD,OF
1613,FREDRIKSTAD,OF
1614,FREDRIKSTAD,OF
1615,FREDRIKSTAD,OF
1616,FREDRIKSTAD,OF
1617,FREDRIKSTAD,OF
1618,FREDRIKSTAD,OF
1619,FREDRIKSTAD,OF
1620,GRESSVIK,OF
1621,GRESSVIK,OF
1622,GRESSVIK,OF
1623,GRESSVIK,OF
1624,GRESSVIK,OF
1625,MANSTAD,OF
1626,MANSTAD,OF
1628,ENGELSVIKEN,OF
1629,GAMLE FREDRIKSTAD,OF
1630,GAMLE FREDRIKSTAD,OF
1632,GAMLE FREDRIKSTAD,OF
1633,GAMLE FREDRIKSTAD,OF
1634,GAMLE FREDRIKSTAD,OF
1636,GAMLE FREDRIKSTAD,OF
1637,GAMLE FREDRIKSTAD,OF
1638,GAMLE FREDRIKSTAD,OF
1639,GAMLE FREDRIKSTAD,OF
1640,RÅDE,OF
1641,RÅDE,OF
1642,SALTNES,OF
1643,RÅDE,OF
1650,SELLEBAKK,OF
1651,SELLEBAKK,OF
1653,SELLEBAKK,OF
1654,SELLEBAKK,OF
1655,SELLEBAKK,OF
1657,TORP,OF
1658,TORP,OF
1659,TORP,OF
1661,ROLVSØY,OF
1662,ROLVSØY,OF
1663,ROLVSØY,OF
1664,ROLVSØY,OF
1665,ROLVSØY,OF
1666,ROLVSØY,OF
1667,ROLVSØY,OF
1670,KRÅKERØY,OF
1671,KRÅKERØY,OF
1672,KRÅKERØY,OF
1673,KRÅKERØY,OF
1675,KRÅKERØY,OF
1676,KRÅKERØY,OF
1678,KRÅKERØY,OF
1679,KRÅKERØY,OF
1680,SKJÆRHALDEN,OF
1682,SKJÆRHALDEN,OF
1683,VESTERØY,OF
1684,VESTERØY,OF
1690,HERFØL,OF
1692,NEDGÅRDEN,OF
1701,SARPSBORG,OF
1702,SARPSBORG,OF
1703,SARPSBORG,OF
1704,SARPSBORG,OF
1705,SARPSBORG,OF
1706,SARPSBORG,OF
1707,SARPSBORG,OF
1708,SARPSBORG,OF
1709,SARPSBORG,OF
1710,SARPSBORG,OF
1711,SARPSBORG,OF
1712,GRÅLUM,OF
1713,GRÅLUM,OF
1714,GRÅLUM,OF
1715,YVEN,OF
1718,GREÅKER,OF
1719,GREÅKER,OF
1720,GREÅKER,OF
1721,SARPSBORG,OF
1722,SARPSBORG,OF
1723,SARPSBORG,OF
1724,SARPSBORG,OF
1725,SARPSBORG,OF
1726,SARPSBORG,OF
1727,SARPSBORG,OF
1730,ISE,OF
1733,HAFSLUNDSØY,OF
1734,HAFSLUNDSØY,OF
1735,VARTEIG,OF
1738,BORGENHAUGEN,OF
1739,BORGENHAUGEN,OF
1740,BORGENHAUGEN,OF
1742,KLAVESTADHAUGEN,OF
1743,KLAVESTADHAUGEN,OF
1745,SKJEBERG,OF
